community,Hexon protein,Hexon-interlacing protein,Outras proteínas estruturais,Penton protein,Pre-hexon-linking protein IIIa,Pre-hexon-linking protein VIII,Pre-histone-like nucleoprotein,Pre-protein VI
0,440,0,23,4,2,0,0,0
1,578,0,5,0,15,0,0,0
2,284,0,0,0,273,0,0,0
3,298,51,0,0,0,0,0,0
4,492,0,0,0,0,0,0,0
5,515,0,0,0,0,0,0,0
6,495,0,0,0,0,0,0,0
7,276,0,0,0,0,0,0,0
8,0,0,0,15,131,0,0,0
9,293,0,13,0,0,9,24,8
10,550,0,0,0,0,32,5,13
11,503,0,20,0,0,0,11,21
12,526,0,0,0,0,0,0,0
13,307,0,0,0,0,0,0,0
14,293,0,0,0,0,0,0,0
15,283,0,0,0,0,2,0,0
16,655,0,0,0,0,0,0,46
17,0,0,0,436,0,0,0,0
18,407,0,0,0,0,108,0,0
19,0,0,0,0,47,0,0,0
20,478,0,0,0,0,0,0,2
21,575,48,0,0,0,0,0,0
22,304,0,0,0,0,0,0,0
23,294,0,0,0,0,0,0,0
24,0,80,0,0,0,17,0,27
25,324,0,0,0,0,0,0,0
26,516,0,0,0,0,0,0,0
27,540,0,0,0,0,0,0,0
28,442,0,0,0,0,131,0,0
29,257,0,0,0,0,0,0,0
